S. No.,States/UTs,Vehicle Type,Total Road Accidents,Killed,Greviously Injured,Minor Injured
36,Lakshadweep,Non-motorized vehicle,0,0,0,0
37,Puducherry,Non-motorized vehicle,2,0,1,1
1,Andhra Pradesh,Others,770,357,81,470
2,Arunachal Pradesh,Others,0,0,0,0
3,Assam,Others,292,98,159,23
4,Bihar,Others,679,509,627,16
5,Chhattisgarh,Others,828,450,71,628
6,Goa,Others,76,25,7,27
7,Gujarat,Others,485,340,197,167
8,Haryana,Others,629,388,234,516
9,Himachal Pradesh,Others,130,35,18,37
10,Jharkhand,Others,303,285,156,29
11,Karnataka,Others,2463,845,1700,1209
12,Kerala(*),Others,779,51,267,140
13,Madhya Pradesh,Others,4666,1077,658,3364
14,Maharashtra,Others,1629,927,863,447
15,Manipur,Others,15,8,6,10
16,Meghalaya,Others,8,7,3,4
17,Mizoram,Others,0,0,0,0
18,Nagaland,Others,0,0,0,0
19,Odisha,Others,841,443,413,537
20,Punjab,Others,65,68,15,0
21,Rajasthan,Others,1802,921,384,931
22,Sikkim,Others,40,28,73,58
23,Tamil Nadu,Others,676,277,166,409
24,Telangana,Others,933,518,48,595
25,Tripura,Others,17,6,55,2
26,Uttarakhand,Others,51,81,31,50
27,Uttar Pradesh,Others,3690,2143,1682,777
28,West Bengal,Others,487,319,309,92
29,A & N  Islands,Others,0,0,0,0
30,Chandigarh,Others,0,0,0,0
31,D & N Haveli,Others,0,0,0,0
32,Daman & Diu,Others,0,0,0,0
33,Delhi,Others,205,98,5,175
34,Jammu & Kashmir,Others,826,147,538,329
35,Ladakh,Others,6,0,0,6
36,Lakshadweep,Others,0,0,0,0
37,Puducherry,Others,35,10,9,24
